Device Name,Platform,OS Version,Portrait Width,Landscape Width,Release Date
Samsung Galaxy Note 10.1 N8010,Android,4.0.4,800,1280,2012-08
Samsung Galaxy Note 10.1 N8010 (Multiscreen Enabled),Android,4.0.4,800,637,2012-08
Samsung Galaxy Note 10.1 (2014 Edition) P600,Android,4.3,800,1280,2013-11
Samsung Galaxy Note 2 N7100,Android,4.1.1,360,640,2012-09
Samsung Galaxy Note 3 N9005,Android,4.3,360,640,2013-09
Samsung Galaxy Note 8.0 N5100,Android,4.1.2,601,962,2013-04
Samsung Galaxy Note 8.0 N5110,Android,4.1.2,601,962,2013-04
Samsung Galaxy S I9000,Android,2.3.6,320,533,2010-06
Samsung Galaxy S Duos S7562,Android,4.0.4,320,533,2012-09
Samsung Galaxy S WiFi YPG70CW,Android,2.2,320,533,2011-05
Samsung Galaxy S2 I9100,Android,2.3.6,320,533,2011-04
Samsung Galaxy S3 I9300,Android,4.0.4,360,640,2012-05
Samsung Galaxy S3 Mini I8190,Android,4.1.2,320,533,2012-11
Samsung Galaxy S4 I9500,Android,4.2.2,360,640,2013-04
Samsung Galaxy S4 I9505,Android,4.2.2,360,640,2013-04
Samsung Galaxy S4 Active I9295,Android,4.2.2,360,640,2013-06
Samsung Galaxy S4 Mini I9190,Android,4.2.2,360,640,2013-07
Samsung Galaxy S4 Zoom SM-C105,Android,4.2.2,360,640,2013-07
Samsung Galaxy Tab 10.1 P7510,Android,3.2,800,1280,2011-07
Samsung Galaxy Tab 2 10.1 P5110,Android,4.0.4,800,1280,2012-05
Samsung Galaxy Tab 2 7.0 P3110,Android,4.0.3,600,1024,2012-05
Samsung Galaxy Tab 3 7.0 T210,Android,4.1.2,600,1024,2013-07
Samsung Galaxy Tab 3 8.0 T310,Android,4.2.2,602,962,2013-07
Samsung Galaxy Tab 3 10.1 P5210,Android,4.2.2,800,1280,2013-07
Samsung Galaxy Tab 3 Kids T2105,Android,4.1.2,600,1024,2013-11
Samsung Galaxy Tab 7.7 P6810,Android,3.2,800,1280,2012-01
Samsung Galaxy Tab 7.0 Plus P6210,Android,3.2,600,1024,2012-01
Samsung Galaxy Tab 8.9 P7310,Android,4.0.4,800,1280,2011-05
Samsung Galaxy Tab 8.9 4G P7320,Android,3.2,800,1280,2012-02
Samsung Galaxy Tab P1000,Android,2.3.3,400,683,2010-10
Samsung Galaxy X Cover 2 S7710 ,Android,4.1.2,320,533,2013-03
Samsung Galaxy Y S5360,Android,2.3.6,320,427,2011-10
Samsung Galaxy Young S6310,Android,4.1.2,320,480,2013-02
Samsung Infuse 4G I997,Android,2.3,320,533,2011-05
Samsung Omnia W I8350,WP7,7.5,320,480,2011-10
Samsung Omnia 7 I8700,WP7,7.5,320,480,2010-10
Samsung Wave S8500,Bada,1.0,240,400,2010-04
Samsung Wave S8500,Bada,2.0.1,320,534,2010-04
Scroll Excel,Android,2.3.4,480,800,2012-02
Sony BRAVIA 40 EX520,Proprietary (TV),PKG4.012GAA-0104,-,1920,2011-01
Sony Ericsson Elm,Proprietary (Java),1231-1917 R7CA061 100619,240,-,2010-03
Sony Ericsson Spiro,Proprietary (Java),-,240,-,2010-08
Sony Ericsson Xperia Arc,Android,2.3.4,320,569,2011-03
Sony Ericsson Xperia Mini ST15i,Android,2.3.4,320,401,2011-08
Sony Ericsson Xperia Neo,Android,4.0.4,480,854,2011-03
Sony Ericcson Xperia Play,Android,2.3.4,425,974,2011-03
Sony Ericsson Xperia X8,Android,2.1.1,320,480,2010-09
Sony Ericsson Xperia X10,Android,2.3.3,320,569,2010-03
Sony PlayStation 3,PlayStation 3,4.25,-,1824,2006-11
Sony PlayStation Portable,PlayStation Portable,4.2,-,480,2005-03
Sony PlayStation Vita,PlayStation Vita,1.00,-,896,2012-02
Sony Tablet P,Android,4.0.3,-,1024,2012-09
Sony Tablet S,Android,4.0.3,800,1280,2011-09
Sony VAIO Tap 20,Windows 8,8.0,900,1600,2013-06
Sony Xperia acro S,Android,4.0.4,360,640,2012-08
Sony Xperia P,Android,2.3.7,360,640,2012-05
Sony Xperia S,Android,2.3.7,360,640,2012-02
Sony Xperia Sola,Android,2.3.7,320,569,2012-05
Sony Xperia SP,Android,4.1.2,360,598,2013-04
Sony Xperia Tablet Z,Android,4.1.2,800,1280,2013-05
Sony Xperia Tipo,Android,4.0.4,320,480,2012-08
Sony Xperia U,Android,2.3.7,320,569,2012-05
Sony Xperia V,Android,4.1.2,360,598,2012-12
Sony Xperia Z,Android,4.1.2,360,598,2013-02
Sony Xperia Z1,Android,4.2.2,360,598,2013-09
Telstra T-Hub 2,Android,2.3.7,400,683,2012-07
Tesco Hudl,Android,4.2,600,799,2013-09
Toshiba AT100,Android,4.0.4,800,1280,2011-07
Toshiba AT1S0,Android,3.2,602,961,2012-02
Toshiba AT200,Android,3.2.1,800,1280,2012-02
Toshiba AT300,Android,4.0.3,800,1280,2012-06
Toshiba AT330,Android,4.0.3,900,1600,2012-07
Wiko Cink Slim,Android,4.1.1,320,533,2012-11
Yarvik Xenta Tab 8c,Android,4.1.2,768,1024,2013-08
XBOX 360,XBOX,2.0,-,1050,2005-11
Xiaomi MI-3,Android,4.2.1,360,640,2013-09
ZTE Open,FireFox OS,1.0.0B01,320,415,2013-07
ZTE T22 (Telstra Urbane),Android,4.0.4,320,533,2012-08
ZTE T28 (Telstra Active Touch),Android,2.3.5,320,533,2011-05
ZTE T760 (Telstra Smart-Touch 2),Android,2.3.5,320,480,2012-02
ZTE T790 (Telstra Pulse),Android,4.0.4,320,480,2013-05
ZTE T81 (Telstra Frontier 4G),Android,4.0.4,320,533,2012-11
ZTE T82 (Telstra Easy Touch 4G),Android,4.0.4,360,598,2012-11
ZTE T83 (Telstra Dave 4G),Android,4.1.2,320,534,2013-10
